"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SLRC","Solar Capital Ltd.","21.85","923399048.1","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/slrc",
"SUNS","Solar Senior Capital Ltd.","16.23","260209081.77","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/suns",
"SEDG","SolarEdge Technologies, Inc.","26.3","1106817037.4","n/a","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/sedg",
"SLNO","Soleno Therapeutics, Inc.","0.315","15095693.97","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/slno",
"SLNOW","Soleno Therapeutics, Inc.","0.0825","0","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/slnow",
"SNGX","Soligenix, Inc.","2.04","11675205.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.55","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngxw",
"SONC","Sonic Corp.","23.68","990044579.2","n/a","1991","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sonc",
"SOFO","Sonic Foundry, Inc.","3.72","16584039","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sofo",
"SNOA","Sonoma Pharmaceuticals, Inc.","5.71","24598468.73","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/snoa",
"SNOAW","Sonoma Pharmaceuticals, Inc.","0.39","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/snoaw",
"SONS","Sonus Networks, Inc.","6.82","338860559.18","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sons",
"SPHS","Sophiris Bio, Inc.","1.89","56910079.17","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/sphs",
"SORL","SORL Auto Parts, Inc.","5.11","98648146.31","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/sorl",
"SRNE","Sorrento Therapeutics, Inc.","1.7","130118093.5","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/srne",
"SOHO","Sotherly Hotels Inc.","5.99","82752059.65","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/soho",
"SOHOB","Sotherly Hotels Inc.","25.95","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sohob",
"SOHOM","Sotherly Hotels LP","25.61","0","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/sohom",
"SFBC","Sound Financial Bancorp, Inc.","31.6","79317422","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sfbc",
"SSB","South State Corporation","81","2370346497","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ssb",
"SFST","Southern First Bancshares, Inc.","35.35","258556298.35","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sfst",
"SMBC","Southern Missouri Bancorp, Inc.","31.57","271229329.91","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/smbc",
"SONA","Southern National Bancorp of Virginia, Inc.","15.84","378739991.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sona",
"SBSI","Southside Bancshares, Inc.","32.3","947839462.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbsi",
"OKSB","Southwest Bancorp, Inc.","25","467126250","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/oksb",
"SP","SP Plus Corporation","36.9","830528336.7","n/a","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/sp",
